C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\JsReport.cs,81,取消,dr["目前狀態"] = "取消(Cancelled)";
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\JsReport.cs,85,目前狀態,dr["目前狀態"] = dro["display_name"].ToString().Trim();
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\JsReport.cs,88,需求經辦申請日,dr["需求經辦申請日"] = new RefData().FormatDateShortDate(dro["main_started_date"].ToString());
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\JsReport.cs,89,作業單位,dr["作業單位(部)"] = dro["handler_div"].ToString();
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\JsReport.cs,89,部,dr["作業單位(部)"] = dro["handler_div"].ToString();
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\JsReport.cs,90,作業單位,dr["作業單位(科)"] = dro["handler_dept"].ToString();
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\JsReport.cs,90,科,dr["作業單位(科)"] = dro["handler_dept"].ToString();
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\JsReport.cs,92,需求主管,dr["需求主管"] = dro["approve_manager"].ToString();
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\JsReport.cs,93,需求主管核准日,dr["需求主管核准日"] = new RefData().FormatDateShortDate(dro["manager_approved_date"].ToString());
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\JsReport.cs,94,核准日,dr["Owner核准日"] = new RefData().FormatDateShortDate(dro["owner_approved_date"].ToString());
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\JsReport.cs,95,作業經辦完成日,dr["作業經辦完成日"] = new RefData().FormatDateShortDate(dro["operator_approved_date"].ToString());
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\JsReport.cs,96,作業經辦,dr["作業經辦"] = dro["handler"].ToString();
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\JsReport.cs,97,作業經辦處理回覆,dr["作業經辦處理回覆"] = dro["operator_remarks"].ToString();
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\JsReport.cs,98,覆核經辦完成日,dr["覆核經辦完成日"] = new RefData().FormatDateShortDate(dro["auditor_approved_date"].ToString());
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\JsReport.cs,99,覆核經辦,dr["覆核經辦"] = dro["auditor_name"].ToString();
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,53,排程自動送件,string squery = "select act.display_name, case wk.user_id when 'AutoBatch' then '排程自動送件(AutoBatch)' else emp.full_name + ' (' + wk.user_id + ')' end as activeuser, " +
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,199,未指定負責人,drMerge["activeuser"] = "未指定負責人";
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,234,退件,surl += "');\"><font color=\"red\">退件</font></a>";
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,239,點選查閱退件原因,surl += "\">點選查閱退件原因</span>";
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,261,結案,drMerge["display_name"] = "結案";
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,266,結案,drMerge["status"] = "結案";
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,280,取消,drMerge["display_name"] = "取消";
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,285,取消,drMerge["status"] = "取消";
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,307,完成,statusName = "完成(Completed)";
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,311,取消,statusName = "取消(Cancelled)";
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,315,轉單,statusName = "轉單(Reassigned)";
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,319,處理中,statusName = "處理中(Processing)";
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,701,作業單流程,"where def_name in ('作業單流程','作業單自動化流程') " +
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,701,作業單自動化流程,"where def_name in ('作業單流程','作業單自動化流程') " +
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,800,作業單流程,"where def_name in ('作業單流程','作業單自動化流程') ";
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,800,作業單自動化流程,"where def_name in ('作業單流程','作業單自動化流程') ";
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,952,作業單流程,"where def_name in ('作業單流程','作業單自動化流程') ";
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,952,作業單自動化流程,"where def_name in ('作業單流程','作業單自動化流程') ";
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,1077,作業單流程,"where def_name in ('作業單流程','作業單自動化流程') ";
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,1077,作業單自動化流程,"where def_name in ('作業單流程','作業單自動化流程') ";
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,1249,作業單流程,"where def_name in ('作業單流程','作業單自動化流程') ";
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,1249,作業單自動化流程,"where def_name in ('作業單流程','作業單自動化流程') ";
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,1365,作業單流程,"where def_name in ('作業單流程','作業單自動化流程') " +
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,1365,作業單自動化流程,"where def_name in ('作業單流程','作業單自動化流程') " +
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,1408,作業單流程,"where def_name in ('作業單流程','作業單自動化流程') " +
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,1408,作業單自動化流程,"where def_name in ('作業單流程','作業單自動化流程') " +
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,1485,需求單流程,"where def_name in ('需求單流程','需求單分案流程') ";
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,1485,需求單分案流程,"where def_name in ('需求單流程','需求單分案流程') ";
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,1597,需求單流程,"where def_name in ('需求單流程','需求單分案流程') ";
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,1597,需求單分案流程,"where def_name in ('需求單流程','需求單分案流程') ";
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,1755,需求單流程,"where def_name in ('需求單流程','需求單分案流程') ";
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,1755,需求單分案流程,"where def_name in ('需求單流程','需求單分案流程') ";
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,1930,需求單流程,"where def_name in ('需求單流程','需求單分案流程') ";
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,1930,需求單分案流程,"where def_name in ('需求單流程','需求單分案流程') ";
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,2043,需求單流程,"where def_name in ('需求單流程','需求單分案流程') " +
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,2043,需求單分案流程,"where def_name in ('需求單流程','需求單分案流程') " +
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,2128,需求單流程,"where def_name in ('需求單流程','需求單分案流程') ";
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,2128,需求單分案流程,"where def_name in ('需求單流程','需求單分案流程') ";
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,2283,需求單流程,"where def_name in ('需求單流程','需求單分案流程') ";
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,2283,需求單分案流程,"where def_name in ('需求單流程','需求單分案流程') ";
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,2580,中國信託商業銀行," where  og.LDAP_DN like '%' + (select LDAP_DN from pub_organize where ORG_NAME = '中國信託商業銀行(股)公司') " +
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,2580,股," where  og.LDAP_DN like '%' + (select LDAP_DN from pub_organize where ORG_NAME = '中國信託商業銀行(股)公司') " +
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,2580,公司," where  og.LDAP_DN like '%' + (select LDAP_DN from pub_organize where ORG_NAME = '中國信託商業銀行(股)公司') " +
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,2581,全球資訊管理處," and  og.LDAP_DN not like '%'+ (select LDAP_DN from pub_organize where IS_OPEN  = 'T'  and ORG_NAME = '全球資訊管理處') " +
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDB.cs,2582,全球資訊安全部," and  og.LDAP_DN not like '%'+ (select LDAP_DN from pub_organize where IS_OPEN  = 'T'  and ORG_NAME = '全球資訊安全部') ";
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDBforRunning.cs,96,需求單流程,"where def_name in ('需求單流程','需求單分案流程') " +
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDBforRunning.cs,96,需求單分案流程,"where def_name in ('需求單流程','需求單分案流程') " +
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDBforRunning.cs,288,需求單流程,"where def_name in ('需求單流程','需求單分案流程') " +
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDBforRunning.cs,288,需求單分案流程,"where def_name in ('需求單流程','需求單分案流程') " +
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDBforRunning.cs,472,作業單流程,"where def_name in ('作業單流程','作業單自動化流程') " +
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDBforRunning.cs,472,作業單自動化流程,"where def_name in ('作業單流程','作業單自動化流程') " +
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDBforRunning.cs,663,作業單流程,"where def_name in ('作業單流程','作業單自動化流程') " +
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDBforRunning.cs,663,作業單自動化流程,"where def_name in ('作業單流程','作業單自動化流程') " +
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDBforRunning.cs,845,需求單流程,"where def_name in ('需求單流程','需求單分案流程') " +
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDBforRunning.cs,845,需求單分案流程,"where def_name in ('需求單流程','需求單分案流程') " +
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDBforRunning.cs,1037,需求單流程,"where def_name in ('需求單流程','需求單分案流程') " +
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDBforRunning.cs,1037,需求單分案流程,"where def_name in ('需求單流程','需求單分案流程') " +
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDBforRunning.cs,1220,作業單流程,"where def_name in ('作業單流程','作業單自動化流程') " +
C:\SourceCode\CTBC\ITRQ\sourcecode\App_Code\Data\RefAgilePointDBforRunning.cs,1220,作業單自動化流程,"where def_name in ('作業單流程','作業單自動化流程') " +
